SCORE,KILLS,CAPTURES,DEATHS,DEFENDS,TIME,ASSISTS,RATIO,PLANTS,DEFUSES,CONFIRMS,DENIES,LATENCY
6100.0,46.0,8.0,40.0,3.0,,,,,,,,
10770.0,76.0,,14.0,3.0,0.14,,,,,,,
13810.0,105.0,,15.0,5.0,0.24,,,,,,,
1725.0,14.0,,3.0,,,1.0,4.67,,,,,
1195.0,15.0,,6.0,,,1.0,250.0,,,,,
1195.0,15.0,,6.0,,,1.0,250.0,,,,,
1110.0,13.0,,3.0,,,,,0.0,0.0,,,
1110.0,13.0,,3.0,,,,,0.0,0.0,,,
1110.0,13.0,,3.0,,,,,0.0,0.0,,,
1110.0,13.0,,3.0,,,,,0.0,0.0,,,
4215.0,34.0,,10.0,,,,,,,11.0,1.0,
3545.0,24.0,,4.0,,,,,,,11.0,0.0,
3450.0,28.0,,,,,3.0,,,,,,23.0
3545.0,24.0,,4.0,,,,,,,11.0,0.0,
